datetime,date,hour,interval_start,A3_MW,A4_MW,A5_MW,B1_MW,B2_MW,total_generation_mw,co,no2,o3,pm10,pm25,so2,temperature_2m (°C),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h)
2023-08-01 01:00:00,2023-08-01,1,2023-08-01 00:00:00,0.0,127.0,124.0,0.0,250.0,501.0,0.5,11.1,33.2,18.8,11.7,0.0,16.1,0.0,0.0,82,43,5.9
2023-08-01 02:00:00,2023-08-01,2,2023-08-01 01:00:00,0.0,124.0,130.0,0.0,244.0,498.0,0.4,9.3,33.8,14.4,10.3,0.0,16.1,0.0,0.0,82,61,4.5
2023-08-01 03:00:00,2023-08-01,3,2023-08-01 02:00:00,0.0,129.0,130.0,0.0,250.0,509.0,0.4,5.6,45.6,11.3,8.5,0.0,15.1,0.0,0.0,87,56,5.2
2023-08-01 04:00:00,2023-08-01,4,2023-08-01 03:00:00,0.0,131.0,131.0,0.0,250.0,512.0,0.4,5.1,34.3,13.0,9.9,0.0,14.4,0.0,0.0,90,55,5.7
2023-08-01 05:00:00,2023-08-01,5,2023-08-01 04:00:00,0.0,128.0,132.0,0.0,248.0,508.0,0.4,,34.4,12.9,9.9,0.0,13.9,0.0,0.0,91,63,5.6
2023-08-01 07:00:00,2023-08-01,7,2023-08-01 06:00:00,0.0,129.0,130.0,0.0,247.0,506.0,0.4,4.9,40.1,11.7,8.6,0.0,16.8,0.0,0.0,77,50,2.8
2023-08-01 08:00:00,2023-08-01,8,2023-08-01 07:00:00,0.0,129.0,130.0,0.0,251.0,510.0,0.4,6.7,46.6,14.3,10.3,0.0,19.5,0.0,0.0,66,333,0.8
2023-08-01 09:00:00,2023-08-01,9,2023-08-01 08:00:00,0.0,133.0,129.0,0.0,250.0,512.0,0.4,9.6,39.6,21.9,12.5,1.6,21.8,0.0,0.0,56,270,2.2
2023-08-01 10:00:00,2023-08-01,10,2023-08-01 09:00:00,0.0,135.0,125.0,0.0,251.0,511.0,0.4,9.6,43.8,23.3,10.4,5.7,23.9,0.0,0.0,47,241,4.5
2023-08-01 11:00:00,2023-08-01,11,2023-08-01 10:00:00,0.0,134.0,125.0,0.0,252.0,511.0,0.4,8.6,64.4,14.95,7.15,2.5,25.7,0.0,0.0,40,237,6.0
2023-08-01 12:00:00,2023-08-01,12,2023-08-01 11:00:00,0.0,134.0,124.0,0.0,252.0,510.0,0.4,7.3,90.1,12.4,5.949999999999999,0.0,27.2,0.0,0.0,35,227,6.9
