iter	Passed	Remaining
0	144	86347
1	153	45847
2	160	31958
3	172	25728
4	180	21452
5	188	18702
6	195	16582
7	202	14985
8	209	13755
9	217	12851
10	225	12062
11	233	11450
12	241	10892
13	247	10379
14	255	9954
15	261	9551
16	269	9239
17	275	8902
18	283	8655
19	289	8404
20	297	8213
21	303	7980
22	309	7756
23	316	7586
24	321	7396
25	328	7242
26	336	7137
27	344	7046
28	351	6916
29	356	6775
30	363	6670
31	368	6543
32	374	6428
33	380	6326
34	385	6224
35	392	6153
36	398	6058
37	406	6010
38	412	5938
39	418	5856
40	424	5786
41	429	5711
42	435	5639
43	442	5588
44	447	5525
45	453	5460
46	459	5409
47	465	5349
48	470	5288
49	476	5245
50	483	5204
51	490	5166
52	495	5114
53	500	5064
54	507	5025
55	512	4981
56	518	4939
57	524	4898
58	530	4861
59	537	4835
60	543	4798
61	549	4766
62	555	4732
63	561	4700
64	568	4678
65	574	4644
66	580	4615
67	586	4588
68	591	4554
69	597	4525
70	603	4496
71	609	4470
72	615	4446
73	621	4418
74	627	4393
75	634	4372
76	640	4347
77	647	4333
78	652	4305
79	658	4281
80	665	4263
81	671	4243
82	677	4221
83	684	4201
84	689	4179
85	697	4169
86	704	4153
87	712	4142
88	719	4130
89	726	4118
90	733	4103
91	741	4096
92	748	4080
93	754	4063
94	762	4051
95	767	4030
96	774	4015
97	779	3993
98	785	3973
99	792	3960
100	797	3941
101	804	3926
102	810	3909
103	816	3892
104	823	3881
105	829	3866
106	836	3852
107	842	3838
108	848	3822
109	855	3810
110	862	3797
111	869	3786
112	874	3770
113	881	3759
114	888	3748
115	894	3733
116	901	3723
117	907	3707
118	913	3691
119	919	3676
120	925	3662
121	931	3651
122	937	3637
123	943	3622
124	951	3615
125	957	3603
126	964	3590
127	971	3581
128	977	3569
129	984	3559
130	990	3546
131	997	3535
132	1002	3521
133	1008	3508
134	1015	3497
135	1021	3483
136	1027	3471
137	1032	3457
138	1038	3442
139	1044	3431
140	1049	3417
141	1055	3403
142	1062	3395
143	1068	3383
144	1074	3373
145	1080	3360
146	1086	3347
147	1091	3334
148	1097	3322
149	1103	3310
150	1109	3298
151	1115	3287
152	1121	3276
153	1127	3264
154	1135	3259
155	1142	3250
156	1147	3239
157	1153	3227
158	1159	3216
159	1165	3205
160	1171	3194
161	1177	3183
